X1,LexikalischerFrame,KE1,KEE,KE2,Lesart,Schwierigkeit,Koerzion,No,Date,Genre,Bibl,ContextBefore,Hit,ContextAfter
trauen,Daring,Daring.Agent,Motion.Theme,Motion.Goal,incidental,a,7,35,36526,Belletristik,"Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 88",Er klaute und prügelte sich und rauchte und soff.,"Aber früher, als wir noch klein waren, traute sich niemand an uns heran, auch nicht in Mückes Gegend, denn wir standen unter dem Schutz seines Bruders, und dessen Rache würde fürchterlich sein.","Ich habe mal gesehen, wie er einen Typen aus der Nachbarschaft zusammengeschlagen hat, weil der Mücke als »asoziale Sau« beschimpft hatte."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,40,36526,Belletristik,"Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 133","Ich wunderte mich selbst, aber so war es.","Ich bekam einen Ständer und umarmte Gisela und drückte mich an sie, damit sie merkte, was los war.",Sie sah mich verwundert an.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,44,36526,Belletristik,"Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 151","Ich sagte, ich fände es beeindruckend.","Dann küßte sie mich und drückte sich an mich und drängte mich gegen einen Grabstein, der mir bis knapp unter den Hintern reichte.","Er war breit und gehörte zu der Gruft, in der das Kind begraben lag."
trauen,Daring,Daring.Agent,Motion.Theme,Motion.Goal,incidental,c,7,68,36526,Belletristik,"Goosen, Frank: Liegen lernen, Frankfurt am Main: Eichborn AG 2000, S. 295",Sie sah schön aus und ein bißchen streng.,Ich traute mich kaum an sie heran.,"Ich mußte ziemlich abgerissen aussehen, mal ganz abgesehen davon, daß ich wahrscheinlich roch wie etwas, das lange im Maul einer toten Kuh gelegen hat."
stehlen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,70,36526,Belletristik,"Koneffke, Jan: Paul Schatz im Uhrenkasten, Köln: DuMont Buchverlag 2000, S. 14","Als er einschlief, sah er seinen Vater vor sich, maskiert und in einem schwarzen Mantel.","Und nachts stahl sich Vater auf Katzensohlen an fremde Betten und holte zierlichstes Werkzeug aus seinem Fledermausmantel, Zange und Eisen und Hammer.","Er stemmte einen Brustkasten auf, um sich ein Herz zu holen."
werfen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,a,1,98,36526,Belletristik,"Koneffke, Jan: Paul Schatz im Uhrenkasten, Köln: DuMont Buchverlag 2000, S. 108",Anna entwand sich seinen Armen: »Brauchst du nicht zu wissen.«,"Und Paul bestrafte sie mit Großvaters eisernem Schweigen, mied Annas Keller, einen Tag, zwei Tage, und warf sich an Haueisens Klavier und stimmte Donnerakkorde an, um sie zu zerschmettern und Mores zu lehren.",Eine Anna Feuerhahn ließ sich nicht Mores lehren.
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,119,36526,Belletristik,"Koneffke, Jan: Paul Schatz im Uhrenkasten, Köln: DuMont Buchverlag 2000, S. 182","Vergangenheit war Annas heisere Stimme an seinem Ohr. (»Streichel mich, Paul, streicheln wollte mich nie einer!«)","Annas Beine umklammerten Paul nicht mehr, Annas Bauch, Annas Schenkel und Schoß preßten sich nie mehr an Paul.",Vergangenheit war Großvaters Scheunenviertel.
begeben,Motion,Motion.Theme,NA,Motion.Goal,neutral,x,1,235,36552,Zeitung,"Die Zeit, 27.01.2000, Nr. 5",Frau Zindler verlässt das Gebäude.,Sofort begibt sich ihr junger Begleiter von RTL an ihre Seite.,Mit gebührendem Abstand folgt das Kamerateam von RTL dem Paar in einem großen schwarzen Auto.
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,cx,1,248,36559,Zeitung,"Die Zeit, 03.02.2000, Nr. 6",Einen geglückten Film.,"Wieder einmal schleicht sich Wenders vom Himmel aus an seine Geschichte heran, gewissermaßen engelsgleich.","Die Kamera umkreist die Skyline von Los Angeles im Morgengrauen, die Luft schimmert sanft, dann rückt das Titelgebäude ins Bild."
wagen,Daring,Daring.Agent,Motion.Theme,Motion.Goal,incidental,a,7,263,36559,Zeitung,"Die Zeit, 03.02.2000, Nr. 6",Und auch gestandene Softwarehäuser wie SAP wollen etwas vom B2B-Kuchen abhaben.,Trotzdem wagen sich laufend neue B2B-Firmen an die Börse.,"Besonders frech sind dabei jene, die noch gar keine Umsätze erzielen, sondern lediglich eine Geschäftsidee vermarkten wollen."
